player_name,gp
Jarrett Allen,409
Tracy Murray,409
Jordan Hill,409
Linas Kleiza,409
Cherokee Parks,408
Shannon Brown,408
Chase Budinger,407
Kyle Kuzma,406
Jason Caffey,405
Danny Manning,405
Cedi Osman,404
Steve Kerr,403
Craig Smith,403
Kristaps Porzingis,402
Tyrus Thomas,402
Greivis Vasquez,401
Malcolm Brogdon,400
Steven Hunter,400
Tyrone Hill,400
Lance Thomas,399
George McCloud,398
Daniel Gibson,397
Arvydas Sabonis,397
De'Aaron Fox,395
Michael Carter-Williams,395
Greg Anthony,395
James Ennis III,395
Joel Embiid,394
Toney Douglas,394
Dejounte Murray,394
Mikal Bridges,392
Caris LeVert,392
Josh Childress,391
Tomas Satoransky,388
Lavoy Allen,388
Marc Jackson,387
John Starks,387
Malik Monk,386
Gordan Giricek,384
Ekpe Udoh,384
Monty Williams,384
Bimbo Coles,383
Georges Niang,383
Luke Babbitt,381
Jud Buechler,381
Allen Crabbe,381
John Wallace,381
Ira Newble,380
A.C. Green,379
Torrey Craig,379
Jon Leuer,377
Mitch Richmond,376
Joey Graham,376
Charlie Bell,376
Melvin Ely,375
Mookie Blaylock,373
Josh Hart,372
Travis Knight,371
Grant Long,370
Bogdan Bogdanovic,370
Marcus Morris Sr.,367
Calvin Booth,366
Chris Gatling,365
Olden Polynice,365
John Collins,364
Maxi Kleber,363
Noah Vonleh,362
Shelden Williams,361
Will Bynum,360
Norris Cole,360
Dean Garrett,359
Jerome James,357
Greg Foster,356
Dell Curry,356
Luke Kennard,356
Kyle Singler,356
Quincy Pondexter,355
Patrick Ewing,355
Sam Perkins,355
Tiago Splitter,355
Tyler Johnson,354
Trae Young,353
Keon Clark,353
Sergio Rodriguez,353
Gary Neal,352
Bruce Brown,349
Kevin Huerter,349
Luther Head,348
Marcus Banks,348
Lauri Markkanen,348
Kareem Rush,346
Miles Plumlee,346
Dillon Brooks,345
Terrell Brandon,345
Jalen Brunson,345
Shabazz Napier,345
Mario Elie,345
Derrick White,345
Derrick Jones Jr.,344
Justise Winslow,344
Willy Hernangomez,344
DerMarr Johnson,344
Dan Majerle,343
Nik Stauskas,343
Dominic McGuire,342
Monte Morris,342
Primoz Brezec,342
Ike Austin,341
Jason Hart,341
Cole Aldrich,339
Troy Daniels,339
Juancho Hernangomez,339
Hakeem Olajuwon,338
Rick Brunson,337
Quincy Acy,337
Fabricio Oberto,336
Jahidi White,334
Speedy Claxton,334
Hersey Hawkins,334
Isaiah Rider,334
Don Reid,333
Larry Johnson,330
